d0000001.s001.h001 bn:00058442n
d0000101.s001.h001 bn:00077844n
d0000102.s001.h001 bn:00075024n
d0000103.s001.h001 bn:00075024n
d0000104.s001.h001 bn:00081364n
d0000105.s001.h001 bn:00072114n
d0000106.s001.h001 bn:00008336n
d0000107.s001.h001 bn:00008336n
d0000108.s001.h001 bn:00008336n
d0000109.s001.h001 bn:00009759n
d0000110.s001.h001 bn:00009759n
d0000111.s001.h001 bn:00009759n
d0000112.s001.h001 bn:00009759n
d0000113.s001.h001 bn:00021940n
d0000114.s001.h001 bn:00035517n
d0000115.s001.h001 bn:00060878n
d0000116.s001.h001 bn:00060878n
d0000117.s001.h001 bn:00032725n
d0000118.s001.h001 bn:00032725n
d0000119.s001.h001 bn:00032721n
d0000120.s001.h001 bn:00032719n
d0000121.s001.h001 bn:00032719n
d0000122.s001.h001 bn:00057029n
d0000123.s001.h001 bn:00024616n
d0000124.s001.h001 bn:00025848n
d0000125.s001.h001 bn:00052052n
d0000126.s001.h001 bn:00015675n
d0000127.s001.h001 bn:00059926n
d0000128.s001.h001 bn:00031485n
d0000129.s001.h001 bn:00031485n
d0000130.s001.h001 bn:00031485n
d0000131.s001.h001 bn:00011710n
d0000132.s001.h001 bn:00011437n
d0000133.s001.h001 bn:00021792n
d0000134.s001.h001 bn:00068407n
d0000135.s001.h001 bn:00068407n
d0000136.s001.h001 bn:00013776n
d0000137.s001.h001 bn:00019433n
d0000138.s001.h001 bn:00055344n
d0000139.s001.h001 bn:00055344n
d0000140.s001.h001 bn:00055344n
d0000141.s001.h001 bn:00032804n
d0000142.s001.h001 bn:00001005n
d0000143.s001.h001 bn:00001005n
d0000144.s001.h001 bn:00016716n
d0000145.s001.h001 bn:00016716n
d0000146.s001.h001 bn:00046374n
d0000147.s001.h001 bn:00004333n
d0000148.s001.h001 bn:00004333n
d0000149.s001.h001 bn:00063618n
d0000150.s001.h001 bn:00065265n
d0000151.s001.h001 bn:00014334n
d0000152.s001.h001 bn:00014334n
d0000153.s001.h001 bn:00071229n
d0000154.s001.h001 bn:00071229n
d0000155.s001.h001 bn:00053482n
d0000156.s001.h001 bn:00000654n
d0000157.s001.h001 bn:00000654n
d0000158.s001.h001 bn:00006560n
d0000159.s001.h001 bn:00006560n
d0000160.s001.h001 bn:00006560n
d0000161.s001.h001 bn:00006564n
d0000162.s001.h001 bn:00064570n
d0000163.s001.h001 bn:00005155n
d0000164.s001.h001 bn:00005155n
d0000165.s001.h001 bn:00001495n
d0000166.s001.h001 bn:00057009n
d0000167.s001.h001 bn:00055273n
d0000168.s001.h001 bn:00064053n
d0000169.s001.h001 bn:00079382n
d0000170.s001.h001 bn:00027785n
d0000171.s001.h001 bn:00056170n
d0000171.s001.h002 bn:00056170n
d0000172.s001.h001 bn:00007496n
d0000173.s001.h001 bn:00001289n
d0000174.s001.h001 bn:00011323n
d0000175.s001.h001 bn:00005136n
d0000176.s001.h001 bn:00066863n
d0000177.s001.h001 bn:00019621n
d0000178.s001.h001 bn:00005114n
d0000179.s001.h001 bn:00020855n
d0000180.s001.h001 bn:00040570n
d0000181.s001.h001 bn:00012189n
d0000182.s001.h001 bn:00012190n
d0000183.s001.h001 bn:00026061n
d0000184.s001.h001 bn:00026061n
d0000185.s001.h001 bn:00051085n
d0000186.s001.h001 bn:00046553n
d0000187.s001.h001 bn:00003334n
d0000188.s001.h001 bn:00066544n
d0000189.s001.h001 bn:00069034n
d0000190.s001.h001 bn:00016286n
d0000191.s001.h001 bn:00016286n
d0000192.s001.h001 bn:00054061n
d0000193.s001.h001 bn:00054061n
d0000194.s001.h001 bn:00054061n
d0000195.s001.h001 bn:00070659n
d0000196.s001.h001 bn:00028612n
d0000197.s001.h001 bn:00047197n
d0000198.s001.h001 bn:00073372n
d0000199.s001.h001 bn:00012492n
d0000200.s001.h001 bn:00074445n
d0000201.s001.h001 bn:00007366n
d0000202.s001.h001 bn:00028777n
d0000203.s001.h001 bn:00034712n
d0000204.s001.h001 bn:00046119n
d0000205.s001.h001 bn:00077090n
d0000206.s001.h001 bn:00043461n
d0000207.s001.h001 bn:00043461n
d0000208.s001.h001 bn:00035246n
d0000209.s001.h001 bn:00062649n
d0000210.s001.h001 bn:00071391n
d0000211.s001.h001 bn:00008131n
d0000212.s001.h001 bn:00013809n
d0000213.s001.h001 bn:00013809n
d0000214.s001.h001 bn:00074671n
d0000216.s001.h001 bn:00065342n
d0000217.s001.h001 bn:00065342n
d0000218.s001.h001 bn:00026410n
d0000219.s001.h001 bn:00019758n
d0000220.s001.h001 bn:00064248n
d0000221.s001.h001 bn:00064248n
d0000222.s001.h001 bn:00064248n
d0000223.s001.h001 bn:00046174n
d0000224.s001.h001 bn:00071307n
d0000225.s001.h001 bn:00013886n
d0000226.s001.h001 bn:00030099n
d0000227.s001.h001 bn:00065158n
d0000228.s001.h001 bn:00065158n
d0000229.s001.h001 bn:00028573n
d0000230.s001.h001 bn:00028631n
d0000231.s001.h001 bn:00077758n
d0000232.s001.h001 bn:00077855n
d0000233.s001.h001 bn:00043460n
d0000234.s001.h001 bn:00043460n
d0000235.s001.h001 bn:00009693n
d0000236.s001.h001 bn:00048558n
d0000237.s001.h001 bn:00048558n
d0000238.s001.h001 bn:00043311n
d0000239.s001.h001 bn:00048584n
d0000240.s001.h001 bn:00017154n
d0000241.s001.h001 bn:00036018n
d0000242.s001.h001 bn:00036018n
d0000243.s001.h001 bn:00052834n
d0000244.s001.h001 bn:00071206n
d0000245.s001.h001 bn:00071200n
d0000246.s001.h001 bn:00042224n
d0000247.s001.h001 bn:00042224n
d0000248.s001.h001 bn:00042242n
d0000250.s001.h001 bn:00022113n
d0000251.s001.h001 bn:00068454n
d0000252.s001.h001 bn:00044275n
d0000253.s001.h001 bn:00044275n
d0000254.s001.h001 bn:00022312n
d0000255.s001.h001 bn:00023572n
d0000256.s001.h001 bn:00023572n
d0000257.s001.h001 bn:00041026n
d0000258.s001.h001 bn:00008800n
d0000259.s001.h001 bn:00010097n
d0000260.s001.h001 bn:00081655n
d0000261.s001.h001 bn:00059746n
d0000262.s001.h001 bn:00035775n
d0000263.s001.h001 bn:00065369n
d0000264.s001.h001 bn:00051312n
d0000265.s001.h001 bn:00028341n
d0000266.s001.h001 bn:00019852n
d0000267.s001.h001 bn:00009827n
d0000268.s001.h001 bn:00050079n
d0000269.s001.h001 bn:00010281n
d0000270.s001.h001 bn:00012533n
d0000271.s001.h001 bn:00027060n
d0000272.s001.h001 bn:00012171n
d0000273.s001.h001 bn:00012171n
d0000274.s001.h001 bn:00065243n
d0000275.s001.h001 bn:00065243n
d0000276.s001.h001 bn:00049231n
d0000277.s001.h001 bn:00050309n
d0000278.s001.h001 bn:00016707n
d0000279.s001.h001 bn:00016707n
d0000280.s001.h001 bn:00016707n
d0000281.s001.h001 bn:00016707n
d0000282.s001.h001 bn:00066509n
d0000283.s001.h001 bn:00047115n
d0000284.s001.h001 bn:00007118n
d0000285.s001.h001 bn:00007118n
d0000286.s001.h001 bn:00007118n
d0000287.s001.h001 bn:00017985n
d0000288.s001.h001 bn:00017985n
d0000289.s001.h001 bn:00073597n
d0000290.s001.h001 bn:00021303n
d0000291.s001.h001 bn:00021303n
d0000292.s001.h001 bn:00034555n
d0000293.s001.h001 bn:00051970n
d0000294.s001.h001 bn:00016035n
d0000295.s001.h001 bn:00016035n
d0000296.s001.h001 bn:00016035n
d0000297.s001.h001 bn:00021915n
d0000298.s001.h001 bn:00021915n
d0000299.s001.h001 bn:00044278n
d0000300.s001.h001 bn:00020932n
d0000301.s001.h001 bn:00020932n
d0000302.s001.h001 bn:00077232n
d0000303.s001.h001 bn:00079032n
d0000304.s001.h001 bn:00049964n
d0000305.s001.h001 bn:00077835n
d0000306.s001.h001 bn:00026650n
d0000307.s001.h001 bn:00028020n
d0000308.s001.h001 bn:00028020n
d0000309.s001.h001 bn:00034921n
d0000310.s001.h001 bn:00020400n
d0000311.s001.h001 bn:00020400n
d0000312.s001.h001 bn:00023963n
d0000313.s001.h001 bn:00032376n
d0000314.s001.h001 bn:00059869n
d0000315.s001.h001 bn:00030709n
d0000316.s001.h001 bn:00053225n
d0000317.s001.h001 bn:00055109n
d0000318.s001.h001 bn:00055109n
d0000319.s001.h001 bn:00046538n
d0000320.s001.h001 bn:00022886n
d0000321.s001.h001 bn:00031022n
d0000322.s001.h001 bn:00046748n
d0000323.s001.h001 bn:00069756n
d0000324.s001.h001 bn:00018661n
d0000325.s001.h001 bn:00018661n
d0000326.s001.h001 bn:00052248n
d0000327.s001.h001 bn:00021590n
d0000328.s001.h001 bn:00021590n
d0000329.s001.h001 bn:00080217n
d0000330.s001.h001 bn:00047048n
d0000331.s001.h001 bn:00000379n
d0000332.s001.h001 bn:00005110n
d0000333.s001.h001 bn:00057885n
d0000334.s001.h001 bn:00006512n
d0000335.s001.h001 bn:00014801n
d0000336.s001.h001 bn:00059438n
d0000337.s001.h001 bn:00066554n
d0000338.s001.h001 bn:00056154n
d0000339.s001.h001 bn:00056154n
d0000340.s001.h001 bn:00032133n
d0000341.s001.h001 bn:00032132n
d0000342.s001.h001 bn:00056155n
d0000343.s001.h001 bn:00035254n
d0000344.s001.h001 bn:00008372n
d0000345.s001.h001 bn:00026718n
d0000346.s001.h001 bn:00026718n
d0000347.s001.h001 bn:00026718n
d0000348.s001.h001 bn:00033750n
d0000349.s001.h001 bn:00033750n
d0000350.s001.h001 bn:00069660n
d0000351.s001.h001 bn:00035751n
d0000352.s001.h001 bn:00001965n
d0000353.s001.h001 bn:00001965n
d0000354.s001.h001 bn:00001965n
d0000355.s001.h001 bn:00031548n
d0000356.s001.h001 bn:00031548n
d0000357.s001.h001 bn:00031548n
d0000358.s001.h001 bn:00033753n
d0000359.s001.h001 bn:00033753n
d0000360.s001.h001 bn:00033753n
d0000361.s001.h001 bn:00046962n
d0000362.s001.h001 bn:00046962n
d0000363.s001.h001 bn:00067976n
d0000364.s001.h001 bn:00068449n
d0000365.s001.h001 bn:00074211n
d0000366.s001.h001 bn:00054018n
d0000367.s001.h001 bn:00054018n
d0000368.s001.h001 bn:00050872n
d0000369.s001.h001 bn:00068793n
d0000370.s001.h001 bn:00007830n
d0000371.s001.h001 bn:00028347n
d0000372.s001.h001 bn:00024155n
d0000373.s001.h001 bn:00050101n
d0000374.s001.h001 bn:00026584n
d0000375.s001.h001 bn:00069032n
d0000376.s001.h001 bn:00069032n
d0000377.s001.h001 bn:00077596n
d0000378.s001.h001 bn:00080187n
d0000379.s001.h001 bn:00080187n
d0000380.s001.h001 bn:00080187n
d0000381.s001.h001 bn:00081354n
d0000382.s001.h001 bn:00067344n
d0000383.s001.h001 bn:00000649n
d0000384.s001.h001 bn:00000649n
d0000385.s001.h001 bn:00012288n
d0000386.s001.h001 bn:00012288n
d0000387.s001.h001 bn:00030114n
d0000388.s001.h001 bn:00066771n
d0000389.s001.h001 bn:00030113n
d0000390.s001.h001 bn:00080251n
d0000391.s001.h001 bn:00019940n
d0000392.s001.h001 bn:00008198n
d0000393.s001.h001 bn:00008198n
d0000394.s001.h001 bn:00008066n
d0000395.s001.h001 bn:00069755n
d0000397.s001.h001 bn:00040847n
d0000398.s001.h001 bn:00059951n
d0000399.s001.h001 bn:00074670n
d0000400.s001.h001 bn:00012909n
d0000401.s001.h001 bn:00068547n
d0000402.s001.h001 bn:00068547n
d0000403.s001.h001 bn:00066328n
d0000404.s001.h001 bn:00072762n
d0000405.s001.h001 bn:00017652n
d0000406.s001.h001 bn:00017652n
d0000407.s001.h001 bn:00029685n
d0000408.s001.h001 bn:00029685n
d0000409.s001.h001 bn:00028166n
d0000410.s001.h001 bn:00025707n
d0000411.s001.h001 bn:00079587n
d0000412.s001.h001 bn:00079592n
d0000413.s001.h001 bn:00078676n
d0000414.s001.h001 bn:00027863n
d0000415.s001.h001 bn:00027863n
d0000416.s001.h001 bn:00035489n
d0000417.s001.h001 bn:00035489n
d0000418.s001.h001 bn:00071060n
d0000419.s001.h001 bn:00067169n
d0000420.s001.h001 bn:00064133n
d0000421.s001.h001 bn:00027784n
d0000422.s001.h001 bn:00065535n
d0000423.s001.h001 bn:00067141n
d0000424.s001.h001 bn:00067141n
d0000425.s001.h001 bn:00077973n
d0000426.s001.h001 bn:00035764n
d0000427.s001.h001 bn:00035764n
d0000428.s001.h001 bn:00035764n
d0000429.s001.h001 bn:00059192n
d0000430.s001.h001 bn:00059192n
d0000431.s001.h001 bn:00066348n
d0000432.s001.h001 bn:00007801n
d0000433.s001.h001 bn:00066986n
d0000434.s001.h001 bn:00007459n
d0000435.s001.h001 bn:00031547n
d0000436.s001.h001 bn:00057907n
d0000437.s001.h001 bn:00030015n
d0000438.s001.h001 bn:00030015n
d0000439.s001.h001 bn:00026371n
d0000440.s001.h001 bn:00026371n
d0000441.s001.h001 bn:00026371n
d0000442.s001.h001 bn:00026371n
d0000444.s001.h001 bn:00021588n
d0000445.s001.h001 bn:00034598n
d0000446.s001.h001 bn:00034598n
d0000447.s001.h001 bn:00035624n
d0000448.s001.h001 bn:00035625n
d0000449.s001.h001 bn:00035625n
d0000450.s001.h001 bn:00043986n
d0000451.s001.h001 bn:00042831n
d0000452.s001.h001 bn:00032201n
d0000453.s001.h001 bn:00034920n
d0000454.s001.h001 bn:00073019n
d0000455.s001.h001 bn:00073507n
d0000456.s001.h001 bn:00065287n
d0000457.s001.h001 bn:00049100n
d0000458.s001.h001 bn:00025589n
d0000459.s001.h001 bn:00011408n
d0000460.s001.h001 bn:00070332n
d0000461.s001.h001 bn:00070346n
d0000462.s001.h001 bn:00009189n
d0000463.s001.h001 bn:00009189n
d0000464.s001.h001 bn:00009189n
d0000465.s001.h001 bn:00009189n
d0000466.s001.h001 bn:00071207n
d0000467.s001.h001 bn:00018684n
d0000468.s001.h001 bn:00073754n
d0000469.s001.h001 bn:00043459n
d0000470.s001.h001 bn:00074543n
d0000471.s001.h001 bn:00000358n
d0000472.s001.h001 bn:00020562n
d0000473.s001.h001 bn:00020562n
d0000474.s001.h001 bn:00019944n
d0000475.s001.h001 bn:00032456n
d0000476.s001.h001 bn:00026472n
d0000477.s001.h001 bn:00066534n
d0000478.s001.h001 bn:00080152n
d0000479.s001.h001 bn:00057440n
d0000480.s001.h001 bn:00067530n
d0000481.s001.h001 bn:00009636n
d0000482.s001.h001 bn:00048577n
d0000483.s001.h001 bn:00048577n
d0000484.s001.h001 bn:00048577n
d0000485.s001.h001 bn:00000676n
d0000486.s001.h001 bn:00059480n
d0000487.s001.h001 bn:00059480n
d0000488.s001.h001 bn:00059480n
d0000489.s001.h001 bn:00066332n
d0000490.s001.h001 bn:00025643n
d0000491.s001.h001 bn:00046546n
d0000492.s001.h001 bn:00045745n
d0000493.s001.h001 bn:00046248n
d0000494.s001.h001 bn:00046248n
d0000495.s001.h001 bn:00023654n
d0000496.s001.h001 bn:00023654n
d0000497.s001.h001 bn:00007307n
d0000498.s001.h001 bn:00046934n
d0000499.s001.h001 bn:00073990n
d0000500.s001.h001 bn:00073990n
d0000501.s001.h001 bn:00074002n
d0000502.s001.h001 bn:00079101n
d0000503.s001.h001 bn:00005852n
d0000504.s001.h001 bn:00079376n
d0000505.s001.h001 bn:00046247n
d0000506.s001.h001 bn:00034757n
d0000507.s001.h001 bn:00022412n
d0000508.s001.h001 bn:00022412n
d0000509.s001.h001 bn:00022412n
d0000510.s001.h001 bn:00013436n
d0000511.s001.h001 bn:00068009n
d0000512.s001.h001 bn:00046735n
d0000513.s001.h001 bn:00046191n
d0000514.s001.h001 bn:00001557n
d0000515.s001.h001 bn:00001557n
d0000516.s001.h001 bn:00036019n
d0000517.s001.h001 bn:00074663n
d0000518.s001.h001 bn:00026695n
d0000519.s001.h001 bn:00026695n
d0000520.s001.h001 bn:00013248n
d0000521.s001.h001 bn:00019647n
d0000522.s001.h001 bn:00055844n
d0000523.s001.h001 bn:00065290n
d0000524.s001.h001 bn:00013495n
d0000525.s001.h001 bn:00020852n
d0000526.s001.h001 bn:00071325n
d0000527.s001.h001 bn:00008991n
d0000528.s001.h001 bn:00069036n
d0000529.s001.h001 bn:00059223n
d0000530.s001.h001 bn:00059223n
d0000531.s001.h001 bn:00059223n
d0000532.s001.h001 bn:00066830n
d0000533.s001.h001 bn:00066832n
d0000534.s001.h001 bn:00078302n
d0000535.s001.h001 bn:00055475n
d0000536.s001.h001 bn:00059879n
d0000538.s001.h001 bn:00032615n
d0000539.s001.h001 bn:00032615n
d0000540.s001.h001 bn:00055856n
d0000541.s001.h001 bn:00028499n
d0000542.s001.h001 bn:00016016n
d0000543.s001.h001 bn:00046921n
d0000544.s001.h001 bn:00052909n
d0000545.s001.h001 bn:00012127n
d0000546.s001.h001 bn:00040447n
d0000547.s001.h001 bn:00025980n
d0000548.s001.h001 bn:00022885n
d0000549.s001.h001 bn:00022885n
d0000550.s001.h001 bn:00031743n
d0000551.s001.h001 bn:00077363n
d0000552.s001.h001 bn:00028678n
d0000553.s001.h001 bn:00080660n
d0000554.s001.h001 bn:00073126n
d0000555.s001.h001 bn:00073126n
d0000556.s001.h001 bn:00068538n
d0000557.s001.h001 bn:00056033n
d0000558.s001.h001 bn:00056033n
d0000559.s001.h001 bn:00056033n
d0000560.s001.h001 bn:00056159n
d0000561.s001.h001 bn:00005142n
d0000562.s001.h001 bn:00000666n
d0000563.s001.h001 bn:00007744n
d0000564.s001.h001 bn:00019965n
d0000565.s001.h001 bn:00065344n
d0000566.s001.h001 bn:00016019n
d0000567.s001.h001 bn:00016019n
d0000568.s001.h001 bn:00053353n
d0000569.s001.h001 bn:00053353n
d0000570.s001.h001 bn:00019662n
d0000571.s001.h001 bn:00080357n
d0000572.s001.h001 bn:00003298n
d0000573.s001.h001 bn:00035683n
d0000574.s001.h001 bn:00035683n
d0000575.s001.h001 bn:00080358n
d0000576.s001.h001 bn:00074192n
d0000577.s001.h001 bn:00078321n
d0000578.s001.h001 bn:00044137n
d0000579.s001.h001 bn:00069363n
d0000580.s001.h001 bn:00080301n
d0000581.s001.h001 bn:00053352n
d0000582.s001.h001 bn:00053352n
d0000583.s001.h001 bn:00051793n
d0000584.s001.h001 bn:00063042n
d0000585.s001.h001 bn:00078661n
d0000586.s001.h001 bn:00070884n
d0000587.s001.h001 bn:00055825n
d0000588.s001.h001 bn:00080369n
d0000589.s001.h001 bn:00068552n
d0000590.s001.h001 bn:00068552n
d0000591.s001.h001 bn:00012908n
d0000592.s001.h001 bn:00023613n
d0000593.s001.h001 bn:00023613n
d0000594.s001.h001 bn:00019171n
d0000595.s001.h001 bn:00078085n
d0000596.s001.h001 bn:00019215n
d0000597.s001.h001 bn:00064547n
d0000598.s001.h001 bn:00068423n
d0000599.s001.h001 bn:00077747n
d0000600.s001.h001 bn:00002193n
d0000601.s001.h001 bn:00002193n
d0000602.s001.h001 bn:00035213n
d0000603.s001.h001 bn:00057972n
d0000604.s001.h001 bn:00066718n
d0000605.s001.h001 bn:00035207n
d0000606.s001.h001 bn:00048557n
d0000607.s001.h001 bn:00052804n
d0000608.s001.h001 bn:00060874n
d0000609.s001.h001 bn:00050548n
d0000610.s001.h001 bn:00021267n
d0000611.s001.h001 bn:00028783n
d0000612.s001.h001 bn:00051928n
d0000613.s001.h001 bn:00078318n
d0000614.s001.h001 bn:00068551n
d0000615.s001.h001 bn:00068557n
d0000616.s001.h001 bn:00060884n
d0000617.s001.h001 bn:00051092n
d0000618.s001.h001 bn:00048471n
d0000619.s001.h001 bn:00073370n
d0000620.s001.h001 bn:00019181n
d0000621.s001.h001 bn:00019181n
d0000622.s001.h001 bn:00019181n
d0000623.s001.h001 bn:00058960n
d0000624.s001.h001 bn:00058960n
d0000625.s001.h001 bn:00032163n
d0000626.s001.h001 bn:00032163n
d0000627.s001.h001 bn:00032163n
d0000628.s001.h001 bn:00002294n
d0000629.s001.h001 bn:00080722n
d0000630.s001.h001 bn:00052806n
d0000631.s001.h001 bn:00055181n
d0000632.s001.h001 bn:00008562n
d0000633.s001.h001 bn:00021914n
d0000634.s001.h001 bn:00013142n
d0000635.s001.h001 bn:00002282n
d0000636.s001.h001 bn:00063747n
d0000637.s001.h001 bn:00063747n
d0000638.s001.h001 bn:00070658n
d0000639.s001.h001 bn:00067019n
d0000640.s001.h001 bn:00007807n
d0000641.s001.h001 bn:00017920n
d0000642.s001.h001 bn:00034918n
d0000643.s001.h001 bn:00019792n
d0000644.s001.h001 bn:00019420n
d0000645.s001.h001 bn:00028830n
d0000646.s001.h001 bn:00020600n
d0000647.s001.h001 bn:00067495n
d0000648.s001.h001 bn:00020167n
d0000649.s001.h001 bn:00020167n
d0000650.s001.h001 bn:00072187n
d0000651.s001.h001 bn:00023612n
d0000652.s001.h001 bn:00025685n
d0000653.s001.h001 bn:00078043n
d0000654.s001.h001 bn:00078043n
d0000655.s001.h001 bn:00078043n
d0000656.s001.h001 bn:00071061n
d0000657.s001.h001 bn:00056029n
d0000658.s001.h001 bn:00056029n
d0000659.s001.h001 bn:00056029n
d0000660.s001.h001 bn:00056029n
d0000661.s001.h001 bn:00043341n
d0000662.s001.h001 bn:00047785n
d0000663.s001.h001 bn:00047785n
d0000664.s001.h001 bn:00046302n
d0000665.s001.h001 bn:00011702n
d0000666.s001.h001 bn:00049063n
d0000667.s001.h001 bn:00049063n
d0000668.s001.h001 bn:00052362n
d0000669.s001.h001 bn:00059096n
d0000670.s001.h001 bn:00056459n
d0000671.s001.h001 bn:00056459n
d0000672.s001.h001 bn:00078054n
d0000673.s001.h001 bn:00059915n
d0000674.s001.h001 bn:00067311n
d0000675.s001.h001 bn:00067461n
d0000676.s001.h001 bn:00067461n
d0000677.s001.h001 bn:00068323n
d0000678.s001.h001 bn:00062688n
d0000679.s001.h001 bn:00073369n
d0000680.s001.h001 bn:00073369n
d0000681.s001.h001 bn:00071865n
d0000682.s001.h001 bn:00063701n
d0000683.s001.h001 bn:00072394n
d0000684.s001.h001 bn:00075546n
d0000685.s001.h001 bn:00078660n
d0000686.s001.h001 bn:00078768n
d0000687.s001.h001 bn:00077706n
d0000688.s001.h001 bn:00080687n
d0000689.s001.h001 bn:00080687n
d0000690.s001.h001 bn:00078659n
d0000691.s001.h001 bn:00074322n
d0000692.s001.h001 bn:00081648n
d0000693.s001.h001 bn:00059925n
d0000694.s001.h001 bn:00059801n
d0000695.s001.h001 bn:00049001n
d0000696.s001.h001 bn:00078656n
d0000697.s001.h001 bn:00025940n
d0000698.s001.h001 bn:00025940n
d0000699.s001.h001 bn:00025940n
d0000700.s001.h001 bn:00067812n
d0000701.s001.h001 bn:00050525n
d0000702.s001.h001 bn:00024615n
d0000703.s001.h001 bn:00076229n
d0000704.s001.h001 bn:00055369n
d0000705.s001.h001 bn:00076114n
d0000706.s001.h001 bn:00032056n
d0000707.s001.h001 bn:00002849n
d0000708.s001.h001 bn:00073750n
d0000709.s001.h001 bn:00032397n
d0000710.s001.h001 bn:00032404n
d0000711.s001.h001 bn:00032404n
d0000712.s001.h001 bn:00071268n
d0000713.s001.h001 bn:00024614n
d0000714.s001.h001 bn:00025802n
d0000715.s001.h001 bn:00010751n
d0000716.s001.h001 bn:00000223n
d0000717.s001.h001 bn:00031742n
d0000718.s001.h001 bn:00024665n
d0000719.s001.h001 bn:00024665n
d0000720.s001.h001 bn:00046357n
d0000721.s001.h001 bn:00001293n
d0000722.s001.h001 bn:00001293n
d0000723.s001.h001 bn:00067480n
d0000724.s001.h001 bn:00001553n
d0000725.s001.h001 bn:00005128n
d0000726.s001.h001 bn:00026391n
d0000727.s001.h001 bn:00075392n
d0000728.s001.h001 bn:00075392n
d0000729.s001.h001 bn:00075392n
d0000730.s001.h001 bn:00027122n
d0000731.s001.h001 bn:00076554n
d0000732.s001.h001 bn:00031538n
d0000733.s001.h001 bn:00031538n
d0000734.s001.h001 bn:00032085n
d0000735.s001.h001 bn:00032412n
d0000736.s001.h001 bn:00027056n
d0000737.s001.h001 bn:00027056n
d0000738.s001.h001 bn:00078475n
d0000739.s001.h001 bn:00078475n
d0000740.s001.h001 bn:00074642n
